epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3485,1.11441,3.20499,1.03758,0.01282,0.9797,0.16742,0.11229,0.91566,3.23192,0.87027,0.000518622,0.000518622,0.000518622
2,15.0119,1.06608,1.63254,0.97134,0.00977,0.85543,0.1105,0.06632,0.99291,3.30534,0.95547,0.00106365,0.00106365,0.00106365
3,16.638,1.0842,1.3176,1.0053,0.0122,0.77418,0.06082,0.03591,1.30154,3.49131,1.16873,0.00159768,0.00159768,0.00159768
4,18.2542,1.02628,1.13975,0.97435,0.00962,0.3974,0.05144,0.03611,1.52759,3.51002,1.40763,0.00161749,0.00161749,0.00161749
5,19.8747,0.95802,1.03779,0.94533,0.99029,0.0932,0.26756,0.19073,1.10809,2.9028,1.04752,0.00160099,0.00160099,0.00160099
6,21.5086,0.90785,0.96121,0.93717,0.95265,0.61713,0.93188,0.70087,0.86534,1.93874,0.91003,0.00158448,0.00158448,0.00158448
7,23.1457,0.91486,0.88525,0.93012,0.93226,0.81322,0.92595,0.73166,0.78213,1.68545,0.88911,0.00156798,0.00156798,0.00156798
8,24.7784,0.87592,0.83552,0.91975,0.89813,0.89852,0.95298,0.75783,0.7859,1.09445,0.87794,0.00155148,0.00155148,0.00155148
9,26.4116,0.93098,0.82898,0.9297,0.89983,0.94918,0.96613,0.76565,0.75374,0.9528,0.87552,0.00153497,0.00153497,0.00153497
10,28.0398,0.85961,0.81297,0.91992,0.93794,0.88438,0.96171,0.76958,0.76178,0.81555,0.88059,0.00151847,0.00151847,0.00151847
11,29.6692,0.84198,0.72914,0.90544,0.92136,0.94709,0.97536,0.78556,0.70278,0.71119,0.86503,0.00150197,0.00150197,0.00150197
12,31.2936,0.85625,0.73296,0.91785,0.89854,0.95407,0.96107,0.78605,0.72598,0.69498,0.86675,0.00148546,0.00148546,0.00148546
13,32.9191,0.82559,0.6956,0.9004,0.91699,0.96853,0.96127,0.77289,0.75675,0.61405,0.88918,0.00146896,0.00146896,0.00146896
14,34.5357,0.79329,0.67059,0.89459,0.90901,0.96679,0.96612,0.78168,0.73867,0.63962,0.87252,0.00145246,0.00145246,0.00145246
15,36.1457,0.80893,0.65959,0.90046,0.9036,0.95154,0.96057,0.77835,0.78524,0.7039,0.8909,0.00143595,0.00143595,0.00143595
16,37.7499,0.81484,0.66398,0.9017,0.92305,0.96857,0.95398,0.77367,0.6787,0.59875,0.86105,0.00141945,0.00141945,0.00141945
17,39.3587,0.77943,0.62412,0.89658,0.9266,0.98601,0.96633,0.79264,0.69549,0.58448,0.86241,0.00140295,0.00140295,0.00140295
18,40.9719,0.78616,0.61063,0.88743,0.93369,0.97643,0.98147,0.80419,0.68434,0.56813,0.85383,0.00138644,0.00138644,0.00138644
19,42.5913,0.79189,0.62849,0.89043,0.95079,0.94917,0.98068,0.79266,0.71146,0.56031,0.86267,0.00136994,0.00136994,0.00136994
20,44.1994,0.78711,0.61165,0.89182,0.9659,0.98505,0.98379,0.79748,0.70643,0.55517,0.86948,0.00135344,0.00135344,0.00135344
21,45.8024,0.75328,0.59324,0.87733,0.91984,0.97391,0.97772,0.80702,0.72081,0.58288,0.86659,0.00133693,0.00133693,0.00133693
22,47.4217,0.74714,0.57869,0.88824,0.96874,0.96751,0.98599,0.81274,0.69112,0.5475,0.85977,0.00132043,0.00132043,0.00132043
23,49.021,0.74075,0.56465,0.89105,0.96653,0.9797,0.9799,0.77988,0.73861,0.5349,0.87008,0.00130393,0.00130393,0.00130393
24,50.6134,0.76077,0.5538,0.87809,0.95065,0.9634,0.97061,0.78186,0.72674,0.55591,0.87445,0.00128742,0.00128742,0.00128742
25,52.2499,0.77943,0.56534,0.88261,0.95429,0.95137,0.97683,0.80257,0.65508,0.53494,0.8468,0.00127092,0.00127092,0.00127092
26,53.8503,0.72938,0.53498,0.87356,0.9091,0.98461,0.96944,0.80345,0.68082,0.53214,0.85146,0.00125442,0.00125442,0.00125442
27,55.4523,0.73664,0.54789,0.88402,0.92838,0.98155,0.97323,0.8086,0.6607,0.47881,0.84893,0.00123791,0.00123791,0.00123791
28,57.0552,0.74602,0.53934,0.87399,0.92632,0.98155,0.95476,0.77234,0.68768,0.5104,0.86091,0.00122141,0.00122141,0.00122141
