epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7373,1.16507,2.99309,1.05041,0.01415,0.96642,0.28541,0.16962,0.97588,3.01218,0.87223,0.000611111,0.000611111,0.000611111
2,13.0992,1.24046,1.56713,1.02327,0.01311,0.89552,0.12381,0.07443,1.01197,3.13058,0.96191,0.00126513,0.00126513,0.00126513
3,14.4322,1.07817,1.20689,0.97827,0.00809,0.55224,0.00901,0.00455,1.54394,3.486,1.26218,0.00190594,0.00190594,0.00190594
4,15.7693,1.04875,1.11268,0.99207,0.00597,0.40672,0.00543,0.00254,1.8407,3.55415,1.51626,0.0019406,0.0019406,0.0019406
5,17.0992,1.02727,1.07791,0.97813,0.03709,0.8806,0.36954,0.25506,0.97495,2.66694,0.9317,0.0019208,0.0019208,0.0019208
6,18.4445,0.93274,0.94331,0.93834,0.44844,0.16418,0.28587,0.21005,0.90276,2.39416,0.90808,0.001901,0.001901,0.001901
7,19.9117,0.92243,0.86767,0.94546,0.71048,0.23881,0.42172,0.2936,0.9803,2.32524,0.94455,0.0018812,0.0018812,0.0018812
8,21.2798,0.89357,0.84467,0.92622,0.96798,0.67684,0.8762,0.63999,0.93592,1.75497,0.93102,0.0018614,0.0018614,0.0018614
9,22.6337,0.89006,0.80517,0.92594,0.95787,0.84837,0.947,0.6969,0.89532,1.2609,0.914,0.0018416,0.0018416,0.0018416
10,23.978,0.86507,0.7698,0.90894,0.94785,0.88433,0.96621,0.72978,0.8461,1.11914,0.89686,0.0018218,0.0018218,0.0018218
11,25.3429,0.8756,0.74993,0.91975,0.94162,0.88806,0.96045,0.73645,0.82224,0.8901,0.88541,0.001802,0.001802,0.001802
12,26.7079,0.84817,0.73552,0.90945,0.90403,0.91418,0.95495,0.73967,0.80503,0.78683,0.88515,0.0017822,0.0017822,0.0017822
13,28.0536,0.84518,0.71342,0.91064,0.9316,0.91478,0.96652,0.71468,0.85084,0.78204,0.90249,0.0017624,0.0017624,0.0017624
14,29.397,0.85095,0.68797,0.91628,0.94384,0.94057,0.97794,0.72573,0.84661,0.78059,0.90927,0.0017426,0.0017426,0.0017426
