epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4343,1.08497,2.96609,1.00814,0.01235,0.96406,0.2306,0.14248,0.96834,3.18284,0.86637,0.000526421,0.000526421,0.000526421
2,15.5957,1.09976,1.45122,0.98513,0.01238,0.99154,0.23146,0.12492,0.95927,3.2039,0.89439,0.00107138,0.00107138,0.00107138
3,17.6734,1.03467,1.23323,0.9819,0.01118,0.92952,0.2202,0.14208,0.94708,3.05094,0.91051,0.00160533,0.00160533,0.00160533
4,19.751,0.99883,1.079,0.95796,0.98648,0.15209,0.84076,0.58358,0.95605,2.39634,0.92473,0.00161749,0.00161749,0.00161749
5,21.844,0.96023,0.94857,0.94527,0.81113,0.81991,0.85434,0.65316,0.88923,1.8901,0.90131,0.00160099,0.00160099,0.00160099
6,24.0259,0.90623,0.85783,0.9276,0.93117,0.59372,0.90785,0.71086,0.82207,1.19706,0.87347,0.00158448,0.00158448,0.00158448
7,26.1008,0.91421,0.8344,0.92225,0.91817,0.97886,0.96373,0.76535,0.81995,0.77125,0.87944,0.00156798,0.00156798,0.00156798
8,28.1813,0.87605,0.80733,0.91636,0.96597,0.95838,0.98625,0.79202,0.7985,0.82297,0.87134,0.00155148,0.00155148,0.00155148
9,30.2801,0.8538,0.74505,0.90733,0.98243,0.95,0.98336,0.78584,0.7973,0.75008,0.87946,0.00153497,0.00153497,0.00153497
10,32.3551,0.85899,0.73313,0.91484,0.94683,0.9353,0.96723,0.79509,0.75136,0.76745,0.86516,0.00151847,0.00151847,0.00151847
11,34.4265,0.83464,0.69548,0.89895,0.93575,0.97351,0.98661,0.81585,0.73391,0.64129,0.85871,0.00150197,0.00150197,0.00150197
12,36.4958,0.80884,0.68567,0.90009,0.97281,0.98522,0.99061,0.81363,0.74297,0.57789,0.8605,0.00148546,0.00148546,0.00148546
13,38.5673,0.8117,0.66681,0.89645,0.94403,0.95174,0.96068,0.77146,0.77123,0.66828,0.86813,0.00146896,0.00146896,0.00146896
14,40.6303,0.80414,0.64851,0.89696,0.94396,0.98526,0.99084,0.80519,0.7592,0.57978,0.86221,0.00145246,0.00145246,0.00145246
15,42.6803,0.80974,0.64258,0.891,0.96647,0.98943,0.99113,0.81643,0.71279,0.54134,0.85209,0.00143595,0.00143595,0.00143595
16,44.7472,0.78569,0.62354,0.89015,0.93973,0.98895,0.99152,0.81924,0.70282,0.51933,0.84909,0.00141945,0.00141945,0.00141945
17,46.8054,0.78991,0.58514,0.88898,0.93193,0.98775,0.96108,0.81737,0.6967,0.53025,0.84748,0.00140295,0.00140295,0.00140295
18,48.8525,0.76095,0.57093,0.88232,0.9204,0.97202,0.97556,0.82714,0.71323,0.54496,0.8485,0.00138644,0.00138644,0.00138644
19,50.9146,0.78989,0.57731,0.88682,0.91103,0.97463,0.9902,0.83546,0.70919,0.55596,0.8534,0.00136994,0.00136994,0.00136994
20,52.9667,0.7724,0.55428,0.88388,0.95051,0.9926,0.99183,0.82514,0.71395,0.50453,0.85008,0.00135344,0.00135344,0.00135344
21,55.026,0.76212,0.55563,0.88678,0.95468,0.99122,0.99309,0.83203,0.71488,0.49142,0.85347,0.00133693,0.00133693,0.00133693
22,57.0783,0.77239,0.55851,0.89076,0.96477,0.97582,0.99101,0.80436,0.71123,0.51282,0.85316,0.00132043,0.00132043,0.00132043
23,59.1213,0.74966,0.53957,0.88088,0.95656,0.98621,0.98319,0.81822,0.67612,0.46562,0.84435,0.00130393,0.00130393,0.00130393
24,61.1716,0.75114,0.54628,0.87749,0.95616,0.99327,0.99239,0.83586,0.69564,0.46896,0.85156,0.00128742,0.00128742,0.00128742
25,63.2478,0.74061,0.52266,0.87828,0.96418,0.98943,0.9917,0.83455,0.67455,0.46954,0.84206,0.00127092,0.00127092,0.00127092
26,65.2987,0.76599,0.52435,0.88172,0.97904,0.97334,0.99301,0.85587,0.66234,0.4545,0.83862,0.00125442,0.00125442,0.00125442
27,67.3656,0.74833,0.50115,0.87843,0.93679,0.98837,0.99418,0.84148,0.66012,0.43191,0.83551,0.00123791,0.00123791,0.00123791
28,69.421,0.74038,0.49732,0.87725,0.97201,0.99366,0.99349,0.84707,0.67521,0.4336,0.84136,0.00122141,0.00122141,0.00122141
29,71.4639,0.74195,0.50009,0.87297,0.94858,0.98746,0.99123,0.82989,0.72651,0.45385,0.85359,0.00120491,0.00120491,0.00120491
30,73.5166,0.74895,0.49289,0.88187,0.95154,0.98097,0.97756,0.82697,0.67369,0.43033,0.84061,0.0011884,0.0011884,0.0011884
31,75.5593,0.73451,0.474,0.87107,0.95525,0.9919,0.98813,0.8396,0.66193,0.41587,0.83856,0.0011719,0.0011719,0.0011719
32,77.6142,0.71675,0.48047,0.87435,0.98072,0.99088,0.99192,0.8413,0.65877,0.41898,0.83879,0.0011554,0.0011554,0.0011554
33,79.6708,0.7236,0.49442,0.86524,0.98104,0.97992,0.99309,0.83639,0.65311,0.40326,0.83614,0.00113889,0.00113889,0.00113889
34,81.7177,0.70931,0.45974,0.86764,0.98016,0.9693,0.99164,0.84319,0.6617,0.41653,0.83566,0.00112239,0.00112239,0.00112239
35,83.8578,0.70321,0.46364,0.85907,0.98443,0.98732,0.99346,0.83518,0.65331,0.40194,0.83224,0.00110589,0.00110589,0.00110589
36,85.9058,0.72377,0.4647,0.86772,0.98796,0.99319,0.99431,0.84132,0.63832,0.38535,0.83135,0.00108938,0.00108938,0.00108938
37,87.9561,0.70121,0.45027,0.86052,0.99085,0.99022,0.99451,0.84894,0.64424,0.38567,0.83179,0.00107288,0.00107288,0.00107288
38,89.9998,0.68653,0.43593,0.86106,0.98012,0.96712,0.99354,0.84511,0.64424,0.4056,0.83562,0.00105638,0.00105638,0.00105638
39,92.0305,0.6588,0.45699,0.86292,0.99189,0.98943,0.99458,0.84069,0.64049,0.37541,0.83375,0.00103987,0.00103987,0.00103987
40,94.0915,0.71994,0.52782,0.87106,0.99128,0.98928,0.9948,0.84537,0.64985,0.37457,0.83594,0.00102337,0.00102337,0.00102337
41,96.1509,0.70297,0.44754,0.86736,0.99361,0.98873,0.99401,0.84569,0.63262,0.39272,0.82891,0.00100687,0.00100687,0.00100687
