epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0309,1.01295,3.1934,1.06466,0.00983,0.81944,0.01516,0.00996,0.77982,3.19876,0.90828,0.000533333,0.000533333,0.000533333
2,16.9702,0.96335,3.18274,1.01882,0.01167,0.97222,0.2748,0.07331,1.47397,3.39962,1.23007,0.00118812,0.00118812,0.00118812
3,17.8426,1.85363,2.64217,1.60518,0.00633,0.52778,0.12612,0.02919,2.64439,3.47129,4.01348,0.00182971,0.00182971,0.00182971
4,18.6512,1.99132,2.20829,1.68839,0.0105,0.875,0.0271,0.00914,2.07404,3.41468,2.64343,0.0019406,0.0019406,0.0019406
5,19.5525,1.65674,2.02576,1.36458,0.00917,0.76389,0.01078,0.00399,1.56965,4.32923,1.87964,0.0019208,0.0019208,0.0019208
6,20.4125,1.49142,1.8079,1.27782,0.00388,0.125,0.0106,0.0042,1.61871,3.47583,1.82583,0.001901,0.001901,0.001901
7,21.2248,1.22436,1.51546,1.17451,0.00639,0.15278,0.01182,0.00458,1.52986,3.41667,1.81439,0.0018812,0.0018812,0.0018812
8,21.9657,1.15339,1.45327,1.19105,0.00883,0.73611,0.00693,0.00294,1.68543,3.44386,2.03358,0.0018614,0.0018614,0.0018614
9,22.7289,1.13592,1.35005,1.15064,0.0364,0.06944,0.01486,0.00455,2.05898,4.19361,3.68693,0.0018416,0.0018416,0.0018416
10,23.7189,1.04919,1.31396,1.09684,0.01045,0.18056,0.01141,0.00412,1.88706,3.58651,2.55634,0.0018218,0.0018218,0.0018218
11,24.572,1.01759,1.135,1.02716,0.009,0.75,0.01458,0.00494,1.83449,3.27456,2.16352,0.001802,0.001802,0.001802
12,25.3912,1.01975,1.10529,1.04612,0.01227,0.77778,0.02839,0.01168,1.72067,3.19545,1.73347,0.0017822,0.0017822,0.0017822
13,26.2532,0.93833,1.04851,1.01679,0.01117,0.93056,0.01334,0.00665,1.32626,3.13217,1.17614,0.0017624,0.0017624,0.0017624
14,27.2186,0.94626,1.08955,1.03356,0.01083,0.90278,0.01225,0.0074,1.18228,3.11051,1.07106,0.0017426,0.0017426,0.0017426
15,27.9675,0.92064,0.94791,0.99802,0.011,0.91667,0.0132,0.00846,1.08984,3.09676,1.01669,0.0017228,0.0017228,0.0017228
16,28.7569,0.86026,0.88515,0.97619,0.011,0.91667,0.01576,0.01067,1.04607,3.09022,0.99169,0.001703,0.001703,0.001703
17,29.6415,0.88438,0.96018,0.99736,0.03373,0.27778,0.02658,0.01896,1.04376,2.97787,0.97769,0.0016832,0.0016832,0.0016832
18,30.4741,0.85339,0.88007,0.97197,0.16601,0.26389,0.09794,0.07634,0.93956,2.56331,0.93089,0.0016634,0.0016634,0.0016634
19,31.2594,0.83564,0.87954,0.98513,0.5039,0.47222,0.38406,0.30774,0.9214,2.1354,0.91416,0.0016436,0.0016436,0.0016436
20,32.0167,0.82367,0.84365,0.93719,0.77742,0.55556,0.61713,0.49597,0.88915,1.98898,0.90244,0.0016238,0.0016238,0.0016238
21,32.7902,0.85757,0.82129,0.97299,0.95831,0.63858,0.86715,0.65564,0.93961,1.91818,0.92948,0.001604,0.001604,0.001604
22,33.6246,0.83031,0.79767,0.96392,0.91882,0.72222,0.87544,0.66645,0.91617,1.64056,0.92244,0.0015842,0.0015842,0.0015842
23,34.3611,0.8608,0.88431,0.99562,0.8959,0.71723,0.85494,0.66749,0.88217,1.56667,0.90558,0.0015644,0.0015644,0.0015644
24,35.1111,0.79459,0.81035,0.93314,0.87451,0.65278,0.81722,0.6568,0.84924,1.53528,0.88897,0.0015446,0.0015446,0.0015446
25,35.8942,0.83717,0.82999,0.97755,0.73439,0.81944,0.80659,0.62386,0.8893,1.33368,0.90953,0.0015248,0.0015248,0.0015248
26,36.9245,0.81634,0.81355,0.96699,0.90333,0.90852,0.90278,0.68983,0.87564,1.17765,0.9073,0.001505,0.001505,0.001505
