epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9082,0.96488,3.07336,0.98229,0.01175,0.97241,0.38469,0.25984,0.85893,3.0374,0.8497,0.000592593,0.000592593,0.000592593
2,16.065,1.04574,1.69045,0.96294,0.0115,0.95172,0.22408,0.12957,0.97576,3.13123,0.92281,0.00124679,0.00124679,0.00124679
3,17.2112,1.10201,1.2556,1.00571,0.00908,0.75172,0.01548,0.00826,1.22682,3.40609,1.19229,0.00188779,0.00188779,0.00188779
4,18.3581,1.03114,1.26655,0.98871,0.00775,0.64138,0.01153,0.00542,1.41237,3.58956,1.36115,0.0019406,0.0019406,0.0019406
5,19.5275,0.95876,1.11613,0.97664,0.00917,0.75862,0.00901,0.00362,1.77186,16.5539,1.53085,0.0019208,0.0019208,0.0019208
6,20.6898,0.88484,1.00752,0.93805,0.00242,0.2,0.0006,0.0002,2.43711,44.6386,2.11269,0.001901,0.001901,0.001901
7,21.8373,0.88577,0.9789,0.94662,0.00517,0.42759,0.00279,0.00095,2.28014,14.3618,1.91117,0.0018812,0.0018812,0.0018812
8,22.9943,0.851,0.91007,0.94217,0.01852,0.08966,0.01131,0.00498,1.71092,4.48034,1.40948,0.0018614,0.0018614,0.0018614
9,24.1331,0.8305,0.87448,0.94171,0.10232,0.10345,0.03692,0.02226,1.56288,3.03221,1.25339,0.0018416,0.0018416,0.0018416
10,25.277,0.80656,0.8193,0.91686,0.95783,0.62663,0.81969,0.62766,0.89166,1.95951,0.92355,0.0018218,0.0018218,0.0018218
11,26.4194,0.78308,0.7859,0.90806,0.90071,0.6882,0.86283,0.66803,0.86897,1.6768,0.91717,0.001802,0.001802,0.001802
12,27.562,0.77663,0.7644,0.91261,0.93581,0.80429,0.90451,0.70702,0.81179,1.42392,0.89091,0.0017822,0.0017822,0.0017822
13,28.6996,0.78586,0.7335,0.91189,0.91295,0.94026,0.9578,0.7454,0.8093,1.0227,0.88345,0.0017624,0.0017624,0.0017624
14,29.842,0.79197,0.7401,0.90155,0.94487,0.95862,0.97993,0.79041,0.7963,0.84283,0.89535,0.0017426,0.0017426,0.0017426
15,30.9812,0.75374,0.67235,0.9056,0.95198,0.97241,0.98565,0.77504,0.76726,0.75799,0.86387,0.0017228,0.0017228,0.0017228
16,32.107,0.74927,0.69526,0.89859,0.95129,0.94291,0.98706,0.78854,0.75748,0.90376,0.86768,0.001703,0.001703,0.001703
17,33.2393,0.76365,0.67672,0.90081,0.93217,0.94783,0.98332,0.79297,0.74566,0.81451,0.86442,0.0016832,0.0016832,0.0016832
18,34.3944,0.7594,0.65543,0.89343,0.95699,0.92067,0.97939,0.77333,0.79626,0.75988,0.89014,0.0016634,0.0016634,0.0016634
19,35.5214,0.76789,0.65283,0.91718,0.9513,0.94306,0.98221,0.78034,0.76245,0.82777,0.87848,0.0016436,0.0016436,0.0016436
20,36.6491,0.75839,0.62723,0.89781,0.94026,0.97685,0.97805,0.78295,0.77351,0.65922,0.88909,0.0016238,0.0016238,0.0016238
21,37.7895,0.74773,0.6286,0.89536,0.95059,0.96552,0.98428,0.79439,0.72941,0.64122,0.86935,0.001604,0.001604,0.001604
22,38.9412,0.69425,0.58195,0.87422,0.98034,0.96552,0.99332,0.81129,0.72597,0.58702,0.86158,0.0015842,0.0015842,0.0015842
23,40.0819,0.71144,0.57056,0.88456,0.96369,0.97241,0.99022,0.78962,0.74876,0.60792,0.87588,0.0015644,0.0015644,0.0015644
24,41.2106,0.71927,0.59089,0.89364,0.97533,0.97241,0.99308,0.79125,0.7474,0.58915,0.87087,0.0015446,0.0015446,0.0015446
25,42.3427,0.71935,0.57268,0.88516,0.9794,0.98391,0.99403,0.80302,0.75688,0.60274,0.87594,0.0015248,0.0015248,0.0015248
